Element Symbol,symmetry,volume,Compounds
Br,Cmce,132.8423775658678,"['AuBr', 'S3Br', 'LiBr', 'BrCl', 'ThBrN', 'BrN3', 'CoBr', 'GdCBr', 'H9BrO4', 'Ag3Br', 'CaHBr', 'H5BrO2', 'HBr', 'IBr', 'NaBr', 'CuBr', 'HgBrN', 'ZrBr', 'Se3Br', 'BrN4', 'Th3Br', 'PrSBr', 'PbBrF', 'LaBr', 'InI2Br', 'CeBrO', 'Pa3Br', 'Ac3Br', 'BrNO', 'NdBrO2', 'TbBr', 'Sb4BrO6', 'SmSBr', 'RbBr', 'Li2BrO', 'Bi2IBr', 'Te2Br', 'RhBr', 'Ti3Br', 'CoBrO', 'SnBrCl', 'YBrO', 'Na3BrCl2', 'BrN', 'HgBr', 'BBr', 'NdBrO', 'ScBrO', 'CsBrF', 'KBr', 'BrO4', 'LaBrO2', 'NaBrO3', 'CBrF2', 'UBr', 'AcBrO', 'H7BrO3', 'Cs2BrCl', 'EuBrO', 'TlBr', 'SmBr', 'Br', 'BrF3', 'GdBrO', 'UBrO5', 'Au3Br', 'BiBrO', 'Mg149Br', 'Bi3Se4Br', 'Zr3Br', 'GdSBr', 'SBr', 'SrBrF', 'BaHBr', 'PrBrO', 'GdBr', 'LuBr', 'TmBr', 'BrO3', 'CuBrO2', 'SeBr', 'UBrN', 'TiBrO', 'EuBrO2', 'Mg3Br', 'TmBrO', 'CaBr', 'Cu4BrCl3', 'YCBr', 'Tl3Br', 'B10H13Br', 'PrBrO2', 'NaBrO2', 'TbCBr', 'TbSBr', 'Bi3BrO4', 'Mn3Br', 'YbBr', 'PH4Br', 'BrO', 'SnBrF', 'PuBrO', 'BaBrF', 'HgSBr', 'CdBrO', 'ReBr', 'Cu4I3Br', 'GdBrO2', 'YbBrO', 'LaCBr', 'SrHBr', 'PbBrCl', 'CsBr', 'Cu2BrO3', 'InBr', 'Rh3Br', 'Fe4Se3Br', 'HoBrO', 'ErBrO', 'H4BrN', 'Ba2P7Br', 'LaBrO', 'Ce3Br', 'NiBrO', 'BrO2', 'Nd3Br', 'SmBrO', 'PBr', 'AgBr', 'La3Br', 'V3Br', 'AgBrO2', 'Pu3Br', 'CBrN', 'LuBrO', 'SbBrO', 'Eu2BrO2', 'BiBr', 'BrF5', 'Rb3BrF12', 'Pr3Br']"
Kr,R-3m,141.71468334419296,"['As2Kr3F16', 'SbKrF7', 'KrF2', 'Kr', 'SbKr3F11', 'AsKrF7', 'Hg2Te4Kr3(O2F13)2', 'Sb2(KrF4)5', 'BiKrF7', 'AsBrKr2OF12']"
Rb,C2/c,722.1109726006154,"['RbP15', 'RbCr3O8', 'RbAl', 'RbB', 'RbSr3', 'RbRe', 'RbHS', 'RbO2F', 'RbAuBr3', 'RbCd13', 'RbPb', 'RbBi3Se5', 'RbN', 'RbTl3', 'RbHg5Cl11', 'K3Rb', 'RbH', 'RbTe', 'RbV5Se8', 'RbI', 'RbBi', 'RbAu5', 'RbNp3', 'RbCr5Se8', 'RbF', 'RbBiF4', 'RbSn', 'RbBa3', 'RbF3', 'RbSn3', 'RbMnTe2', 'RbH2N', 'RbPr3', 'RbF2', 'RbC2', 'RbBr', 'RbGa3', 'RbAg4I5', 'RbEu3', 'RbMg3', 'RbAg3Te2', 'RbPO4', 'RbMg', 'RbS', 'RbN3', 'RbSeBr3', 'RbO3', 'RbBr3', 'RbSb2', 'RbLi2O3', 'RbYb3', 'RbHg3', 'RbTaO3', 'RbAu', 'RbC10', 'RbGeBr3', 'CsRb', 'RbMg15', 'RbSe', 'RbTe6', 'RbCl', 'RbAg3S2', 'RbU3', 'RbCuO', 'RbP11', 'RbSb3', 'RbSi', 'RbO2', 'RbBe2F5', 'RbIn5S8', 'RbSnF3', 'RbC8', 'RbSeO4', 'RbTlO', 'RbBi4Se7', 'RbCa3', 'Cs3Rb', 'Rb', 'RbMg149', 'Rb(CuO5)2', 'RbZn13', 'RbHg11', 'RbSb', 'Rb(CrS2)2', 'RbCe3', 'RbMnSe2', 'RbAc3', 'RbBiF3', 'RbHO', 'RbV5S8', 'RbGeCl3', 'RbGe3', 'RbMg2', 'RbSc5Te8', 'RbV3O8', 'Rb(CO)2', 'RbMg7', 'RbI3', 'RbAs', 'Rb(WO4)8', 'RbP', 'RbIn3S5', 'RbSnBr3', 'RbAg3Se2', 'RbIn4', 'RbSrCl3', 'RbGe', 'Rb(WO3)3', 'RbCu3S2', 'RbHg2', 'RbYb', 'RbBi2', 'RbGa7', 'RbNa3', 'RbBi3', 'RbC']"
Sr,P6_3/mmc,112.86603919480832,"['SrPt2', 'SrTb3', 'SrTh3', 'SrZn13', 'SrLa3', 'SrC6', 'SrMg5', 'SrP', 'SrAl', 'SrO3', 'SrY', 'SrO', 'SrPt5', 'SrPa3', 'SrZn2', 'SrO2', 'SrU', 'SrO10', 'SrC2', 'SrSb2', 'SrBr3', 'SrMg15', 'SrN', 'SrCd11', 'SrCu5', 'SrGa', 'SrPm3', 'SrPd3', 'SrCa', 'SrZn5', 'SrO6', 'SrN6', 'SrPr3', 'SrTl3', 'SrPb3', 'SrAg5', 'SrTl', 'SrMg3', 'SrIn4', 'SrYb3', 'SrGe2', 'SrGe3', 'SrAu', 'SrO4', 'SrTe', 'SrAs', 'SrB6', 'SrYb', 'SrCl2', 'Sr', 'SrGa2', 'Ba3Sr', 'SrSm3', 'SrCd3', 'SrPd5', 'SrHg11', 'SrS', 'SrAu5', 'SrF2', 'SrC20', 'SrDy3', 'SrCl3', 'SrC10', 'SrC', 'SrMg2', 'SrH3', 'SrTl2', 'SrGd3', 'SrCu', 'SrF3', 'SrIn2', 'SrAs3', 'SrGa4', 'SrHg2', 'SrHg3', 'Cs3Sr', 'SrCe3', 'SrIn3', 'SrMg', 'SrMg7', 'SrEu', 'SrNd3', 'SrHg', 'SrCa3', 'SrP2', 'SrF', 'SrIr2', 'SrI2', 'SrAl4', 'SrMg4', 'SrAl2', 'SrZn11', 'SrPd2', 'SrTb', 'SrAc3', 'Rb3Sr', 'SrEu3', 'SrP3', 'SrBi3', 'SrLu', 'SrS2', 'SrSn3', 'SrIn5', 'SrSi', 'SrSe', 'SrN2', 'SrBr2', 'SrCd', 'K3Sr', 'SrRh2', 'SrBe13', 'SrSi2', 'SrB2', 'SrH2']"
Y,P6_3/mmc,67.55562608311241,"['YIn3', 'YCo5', 'Ce3Y', 'YI3', 'Ca3Y', 'YGa3', 'Nd3Y', 'YIn', 'YCd', 'YAl3', 'YTe', 'YPu3', 'YRh', 'YNi5', 'YO2', 'YAs3', 'SrY', 'YAl', 'YTc2', 'YRu2', 'YNi3', 'YCo', 'Yb3Y', 'YCl3', 'YCd2', 'YMg15', 'YSe2', 'YU3', 'YRu3', 'YAs', 'LaY', 'YZn12', 'Ac3Y', 'YTh', 'Nd2Y', 'YRh3', 'YSi', 'YTm3', 'YBr2', 'YTi', 'YCu5', 'Y', 'YF3', 'YIr3', 'YB4', 'Eu3Y', 'YPd2', 'Pr3Y', 'YCl', 'YBr3', 'YO', 'YSi3', 'YMg5', 'YP5', 'Dy3Y', 'YMg2', 'YTl', 'PrY', 'YO3', 'YGa2', 'YFe2', 'YEr', 'YCu', 'YSb2', 'YPb3', 'K3Y', 'Tb3Y', 'YAu', 'YCu2', 'YPt3', 'YZr', 'YP', 'YMg3', 'YMg149', 'YTe2', 'YSc', 'YN', 'YIr', 'YFe3', 'YZn2', 'YAg2', 'YB6', 'YB2', 'YS', 'YHo3', 'YAu2', 'YBi3', 'CsY', 'YC2', 'Pr2Y', 'YMn12', 'Pm3Y', 'YHg2', 'YTl3', 'YH3', 'YMn2', 'YZn', 'YC', 'PmY', 'Sm3Y', 'YMg7', 'YEr3', 'Gd3Y', 'YFe12', 'YRe2', 'YAg3', 'YSb', 'YSn', 'YI', 'YFe5', 'YGa6', 'YGe2', 'Ba3Y', 'CeY', 'YSi2', 'YRh5', 'YOs2', 'KY', 'YZn5', 'Rb3Y', 'YMg', 'YOs3', 'YHg3', 'YHg', 'YPd3', 'YHo', 'YAg', 'YLu3', 'YNp3', 'YSn3', 'YCo3', 'Li3Y']"
Zr,P6_3/mmc,46.99931887465835,"['ZrCl2', 'ZrPt', 'ZrTi2', 'ZrPt3', 'ZrRu', 'Sm3Zr', 'ZrCu3', 'ZrCl4', 'ZrB2', 'ZrHg3', 'ZrSn3', 'ZrCd3', 'ZrS3', 'ZrRu2', 'ZrGa', 'ZrPd', 'Tb3Zr', 'ZrTe2', 'ZrBr2', 'ZrBr', 'ZrPt8', 'K3Zr', 'ZrN', 'ZrAg', 'ZrOs3', 'PuZr', 'Nd3Zr', 'ZrIr', 'Ac3Zr', 'Eu3Zr', 'ZrAu', 'HoZr', 'ZrGa3', 'ZrTe', 'ZrPb', 'ZrSn', 'LuZr', 'ZrMn3', 'ZrAu2', 'ZrTi', 'ZrS', 'Pm3Zr', 'ZrN2', 'DyZr', 'ZrAs', 'ZrMn2', 'ZrCl3', 'ZrCd', 'ZrP3', 'ZrCu5', 'Mg7Zr', 'ZrRe2', 'NdZr', 'ZrB6', 'Dy3Zr', 'ZrSc', 'ZrIr3', 'ZrAl2', 'ZrB', 'ZrIn3', 'ZrO', 'ZrSb', 'ZrI2', 'ZrIn', 'ZrOs2', 'YZr', 'GdZr', 'ZrH2', 'ZrS2', 'ZrPd2', 'ZrTc2', 'Mg149Zr', 'ZrRu3', 'ZrPd3', 'K2Zr', 'ZrU3', 'ZrC', 'ZrCu', 'Rb3Zr', 'ZrNi5', 'PmZr', 'ZrBr3', 'ZrF4', 'ZrSe2', 'ZrFe2', 'ZrNi3', 'ZrHg', 'ZrBr4', 'ZrOs', 'MgZr', 'La3Zr', 'Pu3Zr', 'Yb3Zr', 'Sr3Zr', 'ZrSe3', 'ZrAg2', 'ZrCr2', 'ZrV2', 'Na3Zr', 'TmZr', 'ZrI3', 'ZrSe', 'ZrZn3', 'ZrCo3', 'TbZr', 'SmZr', 'ZrSb3', 'ZrSi', 'Zr', 'ZrTi3', 'HfZr', 'Pr3Zr', 'ZrSc2', 'Ho3Zr', 'ZrIn2', 'ZrO2', 'ZrCl', 'ErZr', 'ZrP', 'ZrTe3', 'ZrI4', 'ZrNp3', 'Mg3Zr', 'Mg15Zr', 'ZrAl3', 'ZrRh', 'ZrH', 'ZrBe5', 'ZrBe2']"
Nb,Im-3m,18.258066615716924,"['NbNi3', 'NbPt2', 'NbRh', 'NbPt4', 'NbI5', 'Mg149Nb', 'Th3Nb', 'Pa3Nb', 'NbPd4', 'NbH4', 'NbSe3', 'NbH', 'NbSi2', 'NbIr', 'ScNb', 'NbIr3', 'NbGa3', 'Sc3Nb', 'NbCl5', 'NbPt3', 'NbRh2', 'Pr3Nb', 'NbFe3', 'NbP', 'NbZn3', 'NbSb', 'NbBr5', 'Eu3Nb', 'Yb3Nb', 'NbCo', 'Ti3Nb', 'NbAu2', 'NbS3', 'NbF4', 'NbAl3', 'Rb3Nb', 'NbI4', 'NbSe2', 'Li3Nb', 'NbOs3', 'NbS2', 'NbO3', 'Sr3Nb', 'Ac3Nb', 'Nb', 'NbC', 'NbBr4', 'NbCd3', 'NbCr3', 'NbTe4', 'NbO', 'NbTe', 'NbSe4', 'NbRh3', 'NbAs2', 'NbAs3', 'NbTe2', 'NbSn3', 'NbCr2', 'NbS', 'NbB2', 'NbPd3', 'Be2Nb', 'NbCo3', 'NbGe2', 'La3Nb', 'Be12Nb', 'K3Nb', 'NbNi2', 'NbAs', 'NbH2', 'NbCo2', 'Mn2Nb', 'NbFe', 'Ba3Nb', 'NbF3', 'NbI3', 'Mg3Nb', 'Be3Nb', 'NbFe2', 'NbCl4', 'NbP2', 'NbRu3', 'NbZn2', 'NbO2', 'NbF5', 'Na3Nb', 'NbN', 'Mg7Nb', 'NbAu4', 'Mg15Nb', 'U3Nb', 'NbPd', 'NbRu', 'NbNi', 'NbSb2']"
Mo,Im-3m,15.89162790660502,"['Si3Mo', 'Sb3Mo', 'Te2Mo', 'Mg149Mo', 'K3Mo', 'Ac3Mo', 'VMo', 'Mg15Mo', 'SiMo', 'Ba3Mo', 'MoH', 'Sr3Mo', 'MoN', 'MoPt', 'TeMo', 'Al5Mo', 'MoBr3', 'MoCl4', 'MoO4', 'B3Mo', 'Sn3Mo', 'Zn6Mo', 'B2Mo', 'Co3Mo', 'Mg7Mo', 'MoO3', 'Ge3Mo', 'Fe2Mo', 'MoPb3', 'MoO5', 'Th3Mo', 'Be22Mo', 'Ni3Mo', 'MoS3', 'UMo', 'Eu3Mo', 'Al12Mo', 'Mo', 'Yb3Mo', 'Fe4Mo', 'V3Mo', 'MoCl3', 'MoO2', 'MoPt3', 'Sn2Mo', 'MoF5', 'MoRu3', 'MoPd', 'Mg3Mo', 'MoOs', 'B4Mo', 'Ge2Mo', 'MoP2', 'Pa3Mo', 'Be2Mo', 'MoPb', 'MoSe2', 'Be12Mo', 'MoF3', 'MoRu', 'MoAs2', 'MoI3', 'MoRh', 'Re3Mo', 'CoMo', 'MoRh3', 'MoIr3', 'MoF6', 'MoN2', 'MoF4', 'MoPd4', 'BMo', 'MoSe', 'Zn7Mo', 'Si2Mo', 'Bi3Mo', 'U2Mo', 'MoP4', 'MoIr4', 'Rb3Mo', 'MoS2', 'Rb2Mo', 'Hf4Mo', 'Be13Mo', 'MoP3', 'MoC', 'MoCl6', 'Al3Mo', 'MoPd3', 'MoP', 'MoIr', 'Zr4Mo', 'Na3Mo', 'Fe3Mo', 'Tc3Mo', 'Li3Mo', 'MoCl5']"
Tc,P6_3/mmc,28.503381002021815,"['MnTcPd', 'Re3Tc', 'TcP4', 'Hf2ZnTc', 'TcB2', 'MnTcOs', 'SiTc', 'TcCl4', 'Cs2TcF6', 'Ti2BeTc', 'Ti2MnTc', 'NpTcO3', 'TcS2', 'LiTcO3', 'TcSnO3', 'Tc(ClO)6', 'Hf2TcIr', 'Rb2TcCl6', 'NaTcO3', 'Nb2TcOs', 'TcAg3', 'CaTaTc', 'EuTcO3', 'YTcN3', 'HfTc', 'Be3Tc', 'CaTcO3', 'CuTcBi', 'Al3Tc', 'Li3Tc', 'Zr2FeTc', 'K2Tc', 'TcNiW', 'U2Tc', 'Ho2ZnTc', 'Lu2CdTc', 'Tc', 'TcRu3', 'Nb2TcRu', 'LiTh2Tc', 'TcF3', 'TlTcO3', 'TcRu', 'TcB4', 'Tc(NF3)2', 'CrTcO3', 'Zn7Tc', 'TcSnSe', 'TcBr3', 'Hf2CuTc', 'MnAl2Tc', 'TcB', 'VTc', 'Al2TcPd', 'TcAs3', 'TcPt3', 'TcRh', 'ReTc', 'Tm2TcAg', 'Nb2Tc', 'Zr2TcOs', 'BeTcSe', 'TcRh3', 'ZrTcCl', 'Sc2ZnTc', 'TcI4', 'GaTc', 'Sc3Tc', 'YbTcO3', 'Nb2ReTc', 'Ti2GaTc', 'Tc(NCl3)2', 'Zr2TcIr', 'MnAlTc', 'Mg3Tc', 'Al4Tc', 'TlTcO2', 'TcO2', 'Sc2GaTc', 'TcIr3', 'TcBr4', 'TcW2C', 'K2TcCl6', 'TcN', 'Cs2TcI6', 'KTcO2', 'TcF6', 'TcOF4', 'TcN2', 'Rb3Tc', 'Ta2TcRu', 'K2TcF6', 'TcOs3', 'Tc(CO)5', 'TcP3', 'K2TcBr6', 'Zr2CuTc', 'Eu3Tc', 'PuTcB2', 'TcPt', 'TaTcPb2', 'CaTcN3', 'KTcO3', 'Ta2ReTc', 'Mg149Tc', 'Li2TcO3', 'K2TcI6', 'TiTc', 'TcBi3O8', 'Pa3Tc', 'K2TcH9', 'TcIrOs', 'Na2TcF6', 'K3Tc', 'TcO3F', 'TcNi', 'UTcO3', 'Al6Tc', 'Ga3Tc', 'ZnTcMo', 'TcF4', 'TaTc', 'Er2CuTc', 'Er2TcAg', 'SrTcN3', 'TcC', 'Cs2TcCl6', 'Ho2MgTc', 'TcNO2', 'SrTcO3', 'TcMo', 'Na3Tc', 'TcAgO2', 'NbTc', 'Zr2TcRh', 'LaTcN3', 'Ta2TcOs', 'Th2CuTc', 'TcGe3', 'Rb2TcI6', 'Tc(I3O)2', 'Mg16Al12Tc', 'K2Tl6Tc', 'TcCl3', 'TcW', 'Tc(Br3N)2', 'Sr2TcO4', 'CoTc', 'Zr2TcRu', 'Ti2AlTc', 'Er2MgTc', 'Hf2TcPd', 'Mg3TcH7', 'Al12Tc', 'BaTcO3', 'Zr2TcNi', 'Ti2FeTc', 'TlZn2Tc', 'Hf2TcNi', 'Be13Tc', 'Tc(Br3O)2', 'TlTcIr2', 'TcO2F3', 'TcIr']"
Ru,P6_3/mmc,27.10235367049707,"['Y3Ru', 'Rb3RuF12', 'ZrRu', 'ThRu', 'NiSb6Ru', 'LaGe3Ru', 'Te2Ru', 'RuS2', 'Sm3Ru', 'TiRu', 'Zn6Ru', 'Ga3Ru', 'Si2Ru', 'Er2Ge2Ru', 'Ti4Ru', 'Rb3Ru', 'P2Ru', 'RuF5', 'RuC', 'Mg2Ru', 'Al12Ru', 'AlRu', 'RuCl3', 'NdSi2Ru', 'Cd4RuN4', 'Yb2Ru', 'MnRu', 'La4Ru', 'Sc2Si2Ru', 'HfRu', 'Ba3RuF6', 'Nd2Ge2Ru', 'Cu3Ru', 'Th4Ru', 'Sn2Ru', 'VRu', 'RuN', 'Be8Ru', 'Ho3Ru', 'Al2Ru', 'OsRu', 'Tc3Ru', 'RuW', 'Er3RuI3', 'Ru', 'Tl3Ru', 'Co4Ru', 'Tb3Ru', 'RuPt', 'RuO4', 'TcRu', 'Ce4Ru', 'Mo4Ru', 'Ru(IN3)2', 'AsRu', 'Si4P4Ru', 'RuRh', 'V3Ru', 'Nb3Ru', 'Ta3Ru', 'Al3Ru', 'Pr3RuBr3', 'PrSi2Ru', 'Mo2RuSe4', 'Al6Ru', 'RuN2', 'Mg149Ru', 'RuRh3', 'GaRu', 'LuRu', 'Zn3Ru', 'Sm4Ru', 'K3Ru', 'Na3RuO4', 'Be3Ru', 'RuI', 'Y3RuI3', 'Dy3Ru', 'CeSi3Ru', 'PuRu', 'B2Ru', 'KRuN', 'Ce3Ru', 'CoRu', 'Ga2Ru', 'RuF6', 'BRu', 'Re3Ru', 'TaRu', 'Y2Ge2Ru', 'K3RuF12', 'Pr3Ru', 'Te4Mo2Ru', 'As2Ru', 'Dy2Ge2Ru', 'MoRu', 'CrRu', 'Nd3Ru', 'V4Ru', 'RuF3', 'RuSe2', 'NdSi3Ru', 'Pr4Ru', 'Na3Ru', 'Pr2Ge2Ru', 'Sn3Ru', 'YbRu', 'FeRu', 'Sc3RuC4', 'AsPRu', 'Mg3Ru', 'Tm3Ru', 'SbAsRu', 'Pu3Ru', 'Ru(N2Cl)3', 'Li7RuO6', 'Nb2Ru', 'RuRh4', 'Ir3Ru', 'Ho2Ge2Ru', 'ScRu', 'RuF4', 'SiRu', 'Co3Ru', 'P3Ru', 'Cr3Ru', 'Ni4Ru', 'SbRu', 'La3RuI3', 'NiRu', 'ThSi3Ru', 'LaSi3Ru', 'IrRu', 'K3RuF6', 'P4Ru', 'LaSi2Ru', 'RuBr3', 'Be2Ru', 'CeSi2Ru', 'Nd4Ru', 'Er3Ru', 'PdRu', 'GeRu', 'In3Ru', 'Mo2Ru', 'Sb2Ru', 'Lu3Ru', 'Pr3RuI3', 'Si3Ru', 'RuAu3', 'Nd3RuO7', 'PRu', 'La3Ru', 'NbRu', 'Ag3Ru', 'RuO2', 'NaRuO2']"
Rh,Fm-3m,13.782780337825384,"['Zr3Rh', 'CuRh', 'NbRh', 'ZnRh', 'PtRh', 'Sb3Rh', 'Li3Rh', 'AgRh', 'HRh', 'NiRh', 'LiRh', 'RhN3', 'CrRh', 'YRh', 'BeRh', 'RhPb2', 'Zn3Rh', 'RhO2', 'ThRh', 'Rh', 'Ca4Rh', 'Sr2Rh', 'Ir3Rh', 'Pu4Rh', 'Sn2Rh', 'RhN', 'RhF5', 'As2Rh', 'TeRh', 'Cu3Rh', 'RhCl2', 'RhN2', 'BRh', 'Pr4Rh', 'SbRh', 'Dy3Rh', 'HfRh', 'LaRh', 'Ga3Rh', 'RhBr', 'Hf2Rh', 'AlRh', 'TmRh', 'Er4Rh', 'RuRh', 'Zr2Rh', 'YbRh', 'Sm3Rh', 'InRh', 'Cr3Rh', 'Er3Rh', 'Tb3Rh', 'TcRh', 'P2Rh', 'SiRh', 'La4Rh', 'CeRh', 'Mg2Rh', 'K3Rh', 'RhS', 'Y3Rh', 'HoRh', 'Sb2Rh', 'Rb3Rh', 'Be3Rh', 'Bi3Rh', 'IrRh', 'Tm4Rh', 'Ca2Rh', 'Y4Rh', 'RhC', 'AsRh', 'Mn3Rh', 'DyRh', 'RhPb', 'RhF3', 'Ni3Rh', 'BiRh', 'RhBr3', 'Ge3Rh', 'Pd3Rh', 'Ge4Rh', 'Tb4Rh', 'MoRh', 'Tc3Rh', 'GeRh', 'As3Rh', 'Sn4Rh', 'V3Rh', 'Ca5Rh', 'Te2Rh', 'RhI2', 'Bi4Rh', 'CoRh', 'Co3Rh', 'TbRh', 'Mg149Rh', 'Ho4Rh', 'RhI', 'RhS2', 'GdRh', 'Ru3Rh', 'LuRh', 'Pt3Rh', 'Zn13Rh', 'MnRh', 'RhCl3', 'TiRh', 'FeRh', 'Bi2Rh', 'RhSe', 'Nd4Rh', 'Lu4Rh', 'Th3Rh', 'Sn3Rh', 'MgRh', 'RhI3', 'Fe3Rh', 'In3Rh', 'RhF6', 'Hg2Rh', 'P3Rh', 'Ti2Rh', 'Na3Rh', 'GaRh', 'Nb3Rh', 'ErRh', 'Ag3Rh', 'SmRh', 'ScRh', 'Sr4Rh', 'Sm4Rh', 'Eu3Rh', 'Hg3Rh', 'RhSe2', 'VRh', 'RhO3', 'Yb4Rh', 'Mg3Rh', 'PdRh', 'Re3Rh', 'ZrRh', 'Dy4Rh', 'Ba4Rh', 'SnRh']"
Pd,Fm-3m,15.02799459406926,"['Fe2Pd', 'ThPd', 'ZnPd', 'Ta3Pd', 'PdF4', 'PdW', 'TmPd', 'LaPd', 'K2Pd', 'PdPb', 'P2Pd', 'Ba4Pd', 'Na3Pd', 'Al3Pd', 'Be5Pd', 'GaPd', 'ZrPd', 'LiPd', 'Sm3Pd', 'MnPd', 'PdBr2', 'PdAu3', 'AgPd', 'Pd', 'Ti4Pd', 'Ti3Pd', 'As2Pd', 'Ba2Pd', 'Zr4Pd', 'Ti2Pd', 'PdO', 'Mg149Pd', 'Pm3Pd', 'HfPd', 'PdPb2', 'BePd', 'Hf2Pd', 'BaPd', 'K3Pd', 'Co2Pd', 'Ag3Pd', 'PdF2', 'CoPd', 'PdO2', 'ScPd', 'ErPd', 'Eu3Pd', 'PdSe2', 'In3Pd', 'Eu4Pd', 'Al2Pd', 'MoPd', 'PuPd', 'Fe3Pd', 'Pr3Pd', 'YbPd', 'DyPd', 'Ca3Pd', 'TePd', 'HgPd', 'InPd', 'Zn2Pd', 'CaPd', 'Bi2Pd', 'PdI2', 'Zr2Pd', 'PdS3', 'PdPb3', 'Li2Pd', 'HoPd', 'SbPd', 'Ge3Pd', 'Cd3Pd', 'Sr4Pd', 'PdF3', 'Mg2Pd', 'Sb2Pd', 'Re3Pd', 'Sc2Pd', 'AlPd', 'TaPd', 'Rb3Pd', 'Yb3Pd', 'CuPd', 'V3Pd', 'Mg3Pd', 'Th2Pd', 'Be3Pd', 'PdPt', 'Zn3Pd', 'PdS2', 'CrPd', 'TiPd', 'Hg3Pd', 'Sn2Pd', 'Sr2Pd', 'Rb2Pd', 'PdN2', 'MgPd', 'PdN', 'FePd', 'CdPd', 'Li3Pd', 'SiPd', 'P3Pd', 'Tl2Pd', 'Te2Pd', 'IrPd', 'Nd3Pd', 'NiPd', 'PdAu', 'PdCl2', 'SnPd', 'GePd', 'Tc3Pd', 'Mo3Pd', 'HPd', 'Be12Pd', 'BiPd', 'Cu3Pd', 'Y3Pd', 'Ca4Pd', 'LuPd', 'TbPd', 'Ga5Pd', 'PdRu', 'PdSe', 'PdRh', 'NbPd', 'PdC', 'Mg5Pd', 'PdPt3']"
Ag,P6_3/mmc,69.45695019121693,"['TiAg', 'ScAg', 'HoAg', 'AgRh', 'Ti2Ag', 'EuAg', 'In2Ag', 'Hf2Ag', 'AgC', 'AgPt3', 'AgN', 'Be2Ag', 'Be12Ag', 'AgO', 'Ac3Ag', 'FeAg', 'Hf3Ag', 'V3Ag', 'CaAg', 'K3Ag', 'Li2AgF5', 'NdAg', 'AgPd', 'AgClO2', 'ZrAg', 'AgTe3', 'Sr3Ag', 'Tb3Ag', 'AgB2', 'Na4Ag', 'AgN3', 'Mg5Ag', 'Gd3Ag', 'AgF3', 'AgPb3', 'AgH', 'TbAg', 'Ga3Ag', 'TmAg', 'ZnAg', 'Fe3Ag', 'AgTe', 'Nd3Ag', 'AgI2', 'Zn4AgN3', 'Zr3Ag', 'Mg3Ag', 'AgHg3', 'AgF2', 'AgAu3', 'Sm3Ag', 'AgSbO3', 'AgO2', 'Eu3Ag', 'CeAg', 'Zn2Ag', 'Ni3Ag', 'AgP15', 'Mg2Ag', 'Zn3Ag', 'SrAg', 'Yb3Ag', 'AcAg', 'LaAg', 'SmAg', 'Mg149Ag', 'Ti3Ag', 'AgC6', 'AgPt', 'Cd3Ag', 'Ce3Ag', 'HfAg', 'Cu3Ag', 'YbAg', 'Zr2Ag', 'LiAg', 'Si3Ag', 'InAg', 'MgAg', 'K2Ag', 'AgI', 'GaAg', 'BaAg', 'Pr3Ag', 'Na3Ag', 'AgIr', 'Al3Ag', 'YAgSe2', 'CdAg', 'Li3AgF4', 'GdAg', 'Ca3Ag', 'AgGe3', 'AgCl', 'In3Ag', 'AgSe5', 'Rb3Ag', 'Ag', 'Tl3Ag', 'AgSn3', 'La3Ag', 'PrAg', 'Pm3Ag', 'Th2Ag', 'AlAg', 'AgBr', 'DyAg', 'YAg', 'ErAg', 'AgPt4', 'AgAs', 'AgBrO2', 'AgP2', 'AgHg', 'AgF', 'AgSe', 'Li3Ag', 'AgAu']"
Cd,P6_3/mmc,44.61503857901331,"['Pr3Cd', 'CeCd', 'CdHg3', 'Np3Cd', 'Ba2Cd', 'Li3Cd', 'CdPt', 'CdPd', 'Ti2Cd', 'Hf2Cd', 'CdBr2', 'Mg2Cd', 'Pm3Cd', 'CdBi3', 'CdS', 'MgCd', 'UCd', 'ZrCd', 'Tl3Cd', 'Na3Cd', 'CdPt3', 'Rb3Cd', 'CdO', 'CdI2', 'CdAu', 'CdAu3', 'CdSe', 'CdAg', 'CdTe', 'Sm3Cd', 'Mg3Cd', 'CdAg3', 'CdGe3', 'Mg5Cd', 'K3Cd', 'TiCd', 'Cd', 'Zr2Cd', 'Th3Cd', 'CdO2', 'CdCl2', 'Zn3Cd', 'Nd3Cd', 'Zr3Cd', 'CdHg2', 'Ce3Cd', 'CdP4', 'HfCd', 'Ac3Cd', 'CdSn3', 'CdH', 'CdPb3', 'CdPd3']"
